Color,Sample,Raw_R,Raw_G,Raw_B,Norm_R,Norm_G,Norm_B
RED,1,1001.09,325.29,443.58,0.248,0.096,0.113
RED,2,1015.06,331.19,450.22,0.251,0.098,0.115
RED,3,1021.28,330.05,447.02,0.253,0.098,0.114
RED,4,1005.50,326.17,443.53,0.249,0.096,0.113
RED,5,1010.98,328.44,448.24,0.250,0.097,0.115
GREEN,1,712.38,902.82,564.81,0.176,0.267,0.144
GREEN,2,723.71,914.38,566.31,0.179,0.271,0.145
GREEN,3,712.12,906.26,563.43,0.176,0.268,0.144
GREEN,4,724.39,913.52,566.15,0.179,0.270,0.145
GREEN,5,713.08,902.23,562.63,0.176,0.267,0.144
BLUE,1,453.64,400.95,779.61,0.112,0.119,0.199
BLUE,2,460.38,403.95,792.57,0.114,0.120,0.203
BLUE,3,468.33,412.88,813.03,0.116,0.122,0.208
BLUE,4,474.18,413.50,808.44,0.117,0.122,0.207
BLUE,5,469.99,410.86,807.13,0.116,0.122,0.206
BLACK,1,221.33,177.97,217.70,0.055,0.053,0.056
BLACK,2,221.41,176.91,218.03,0.055,0.052,0.056
BLACK,3,221.76,177.58,218.69,0.055,0.053,0.056
BLACK,4,222.58,177.58,218.89,0.055,0.053,0.056
BLACK,5,222.32,177.29,218.45,0.055,0.052,0.056
WHITE,1,992.63,911.43,1120.36,0.245,0.270,0.286
WHITE,2,1095.74,979.04,1135.55,0.271,0.290,0.290
WHITE,3,1122.75,979.30,1153.96,0.278,0.290,0.295
WHITE,4,1286.79,1124.26,1355.19,0.318,0.333,0.347
WHITE,5,1339.36,1188.92,1356.93,0.331,0.352,0.347
